,Location,cases
0,"Tampines Street
    11 (Blk 101)",4
1,"Tampines Street
    11 (Blk 102)",4
2,"Tampines Street
    11 (Blk 103)",2
3,"Tampines Street
    11 (Blk 104)",4
4,"Tampines Street
    11 (Blk 113)",1
5,"Tampines Street
    11 (Blk 138)",1
6,"Tampines Street
    11 (Tampines Court)",1
7,Irrawaddy Road,11
8,"Tampines Avenue 5
    (Blk 146)",1
9,"Tampines Street
    12 (Blk 140)",2
10,"Tampines Street
    12 (Blk 141)",1
11,"Tampines Street
    12 (Blk 143)",1
12,Hougang Avenue 8 (Blk 467),1
13,Hougang Avenue 10 (Blk 403),2
14,Hougang Avenue 10 (Blk 408),1
15,"Tampines Street
    82 (Blk 842D)",1
16,"Tampines Street
    82 (Blk 842E)",1
17,"Tampines Street
    82 (Blk 856F)",2
18,"Ang Mo Kio Street 52
    (Blk 588A)",1
19,"Ang Mo Kio Street 52
    (Blk 588B)",1
20,Bukit Batok East Avenue 3 (Blk 222),1
21,Bukit Batok East Avenue 5 (Blk 233),1
22,Shaw Road,2
23,Toa Payoh North (Blk 205),1
24,Toa Payoh North (Blk 207),1
