Location,Cases,Date
Tampines Street 11 (Blk 101),4,2017-02-02
Tampines Street 11 (Blk 102),4,2017-02-02
Tampines Street 11 (Blk 103),2,2017-02-02
Tampines Street 11 (Blk 104),4,2017-02-02
Tampines Street 11 (Blk 113),1,2017-02-02
Tampines Street 11 (Blk 138),1,2017-02-02
Tampines Street 11 (Tampines Court),1,2017-02-02
Irrawaddy Road,11,2017-02-02
Tampines Avenue 5 (Blk 146),1,2017-02-02
Tampines Street 12 (Blk 140),2,2017-02-02
Tampines Street 12 (Blk 141),1,2017-02-02
Tampines Street 12 (Blk 143),1,2017-02-02
Hougang Avenue 8 (Blk 467),1,2017-02-02
Hougang Avenue 10 (Blk 403),2,2017-02-02
Hougang Avenue 10 (Blk 408),1,2017-02-02
Tampines Street 82 (Blk 842D),1,2017-02-02
Tampines Street 82 (Blk 842E),1,2017-02-02
Tampines Street 82 (Blk 856F),2,2017-02-02
Ang Mo Kio Street 52 (Blk 588A),1,2017-02-02
Ang Mo Kio Street 52 (Blk 588B),1,2017-02-02
Bukit Batok East Avenue 3 (Blk 222),1,2017-02-02
Bukit Batok East Avenue 5 (Blk 233),1,2017-02-02
Shaw Road,2,2017-02-02
Toa Payoh North (Blk 205),1,2017-02-02
Toa Payoh North (Blk 207),1,2017-02-02
Tampines Street    11 (Blk 101),4,2017-02-03
Tampines Street    11 (Blk 102),4,2017-02-03
Tampines Street    11 (Blk 103),2,2017-02-03
Tampines Street    11 (Blk 104),4,2017-02-03
Tampines Street    11 (Blk 113),1,2017-02-03
Tampines Street    11 (Blk 138),1,2017-02-03
Tampines Street    11 (Tampines Court),1,2017-02-03
Tampines Avenue 4,1,2017-02-03
Tampines Street    82 (Blk 842D),1,2017-02-03
Tampines Street    82 (Blk 842E),1,2017-02-03
Tampines Street    82 (Blk 856F),2,2017-02-03
Hougang Avenue 8 (Blk 467),1,2017-02-03
Hougang Avenue 10 (Blk 403),2,2017-02-03
Hougang Avenue 10 (Blk 408),1,2017-02-03
Tampines Avenue 5 (Blk 146),1,2017-02-03
Tampines Street 12 (Blk 140),1,2017-02-03
Tampines Street 12 (Blk 141),1,2017-02-03
Ang Mo Kio Avenue 6 (Blk 634),1,2017-02-03
Ang Mo Kio Avenue 6 (Blk 639),1,2017-02-03
Ang Mo Kio Street 52 (Blk 588A),1,2017-02-03
Ang Mo Kio Street 52 (Blk 588B),1,2017-02-03
Bukit Batok East Avenue 3 (Blk 222),1,2017-02-03
Bukit Batok East Avenue 5 (Blk 233),1,2017-02-03
Shaw Road,2,2017-02-03
Toa Payoh North (Blk 205),1,2017-02-03
Toa Payoh North (Blk 207),1,2017-02-03
Tuas South Avenue 9,2,2017-02-03
Woodlands Avenue 6 (Blk 677),1,2017-02-03
Woodlands Avenue 6 (Blk 680),1,2017-02-03
Tampines Street 11 (Blk 101),4,2017-02-04
Tampines Street 11 (Blk 102),4,2017-02-04
Tampines Street 11 (Blk 103),2,2017-02-04
Tampines Street 11 (Blk 104),4,2017-02-04
Tampines Street 11 (Blk 113),1,2017-02-04
Tampines Street 11 (Blk 138),1,2017-02-04
Tampines Street 11 (Tampines Court),1,2017-02-04
Tampines Avenue 4,1,2017-02-04
Tampines Street 82 (Blk 842D),1,2017-02-04
Tampines Street 82 (Blk 842E),1,2017-02-04
Tampines Street 82 (Blk 856F),2,2017-02-04
Hougang Avenue 8 (Blk 467),1,2017-02-04
Hougang Avenue 10 (Blk 403),2,2017-02-04
Hougang Avenue 10 (Blk 408),1,2017-02-04
Beach Road,2,2017-02-04
